year,unemployment,fips
2019,3.5,13121
2019,3.5,13123
2019,3.7,13125
2019,3.3,13127
2019,3.4,13129
2019,3.4,13131
2019,3.9,13133
2019,3,13135
2019,3.5,13137
2019,2.8,13139
2019,5.5,13141
2019,3.3,13143
2019,3.1,13145
2019,3.5,13147
2019,3.3,13149
2019,3.5,13151
2019,3.3,13153
2019,4.7,13155
2019,2.7,13157
2019,3.1,13159
2019,4.6,13161
2019,4.7,13163
2019,5.1,13165
2019,3.6,13167
2019,3.2,13169
2019,3.9,13171
2019,3.9,13173
2019,4.6,13175
2019,3.1,13177
2019,3.7,13179
2019,3.9,13181
2019,3.6,13183
2019,3.5,13185
2019,3.1,13187
2019,5.1,13189
2019,3.6,13191
2019,4.6,13193
2019,3,13195
2019,4.2,13197
2019,4.5,13199
2019,3.3,13201
2019,4.6,13205
2019,3.2,13207
2019,5.3,13209
2019,3.1,13211
2019,5,13213
2019,4.5,13215
2019,3.9,13217
2019,2.5,13219
2019,3.2,13221
2019,2.9,13223
2019,4.1,13225
2019,3,13227
2019,3.4,13229
2019,3,13231
2019,3.6,13233
2019,3.8,13235
2019,4.3,13237
2019,5,13239
2019,3.5,13241
2019,4.8,13243
2019,4.5,13245
2019,3.8,13247
2019,3.9,13249
2019,5.4,13251
2019,4.4,13253
2019,4,13255
2019,3.9,13257
2019,4.2,13259
2019,4.8,13261
2019,4.5,13263
2019,4.9,13265
2019,3.8,13267
2019,4,13269
2019,9.5,13271
2019,5,13273
2019,4,13275
2019,3.4,13277
2019,4.9,13279
2019,4.8,13281
2019,5.3,13283
2019,3.2,13285
2019,3.8,13287
2019,5.4,13289
2019,3.1,13291
2019,3.6,13293
2019,3.6,13295
2019,3.1,13297
2019,3.7,13299
2019,4.5,13301
2019,4.1,13303
2019,4,13305
2019,5,13307
2019,7.5,13309
2019,2.6,13311
2019,4.4,13313
2019,4.5,13315
2019,4.5,13317
2019,3.8,13319
2019,3.9,13321
2019,3.4,15001
2019,2.6,15003
2019,2.7,15007
2019,2.6,15009
2019,2.5,16001
2019,6.8,16003
2019,2.8,16005
2019,2.9,16007
2019,5.2,16009
2019,2.7,16011
2019,2.6,16013
2019,4.3,16015
2019,4.2,16017
2019,2.4,16019
2019,4.4,16021
2019,2.6,16023
2019,2.7,16025
2019,3.2,16027
2019,2.7,16029
2019,2.4,16031
2019,3.7,16033
2019,6.8,16035
2019,4.2,16037
2019,3.3,16039
2019,2.3,16041
2019,2.3,16043
2019,3.3,16045
2019,2.6,16047
2019,4.5,16049
2019,2.3,16051
2019,2.6,16053
2019,3.6,16055
2019,2.7,16057
2019,4.8,16059
2019,5.5,16061
2019,3.6,16063
2019,1.8,16065
2019,2.5,16067
2019,2.8,16069
2019,2.3,16071
2019,3.4,16073
2019,3.6,16075
2019,3.1,16077
2019,5.9,16079
2019,2.2,16081
2019,2.8,16083
2019,3.9,16085
2019,4.2,16087
2019,3.4,17001
2019,6.2,17003
2019,3.8,17005
2019,5.6,17007
2019,2.4,17009
2019,4.6,17011
2019,4.8,17013
2019,4.1,17015
2019,4.1,17017
2019,3.8,17019
2019,4.8,17021
2019,4.5,17023
2019,4.5,17025
2019,3.1,17027
2019,4,17029
2019,3.8,17031
2019,4.3,17033
2019,3.4,17035
2019,4.1,17037
2019,4.3,17039
2019,3.6,17041
2019,2.9,17043
2019,4.2,17045
2019,4.1,17047
2019,3.3,17049
2019,4.4,17051
2019,4.3,17053
2019,5.4,17055
2019,5.6,17057
2019,4.9,17059
2019,4.3,17061
2019,4.5,17063
2019,3.9,17065
2019,4.7,17067
2019,6.6,17069
2019,4.8,17071
2019,4.8,17073
2019,4.2,17075
2019,3.8,17077
2019,4.2,17079
2019,4.6,17081
2019,4.4,17083
2019,4.1,17085
2019,6,17087
2019,4.4,17089
2019,5,17091
2019,3.3,17093
2019,5,17095
2019,4.1,17097
2019,5.3,17099
2019,5.2,17101
2019,4,17103
2019,4.1,17105
2019,4.3,17107
2019,4.7,17109
2019,3.3,17111
2019,3.8,17113
2019,5.3,17115
2019,4.3,17117
2019,3.9,17119
2019,4.5,17121
2019,4.8,17123
2019,5.3,17125
2019,5.6,17127
2019,3.8,17129
2019,5,17131
2019,3.1,17133
2019,5.2,17135
2019,4,17137
2019,3.3,17139
2019,4.8,17141
2019,5.1,17143
2019,5.1,17145
2019,3.6,17147
2019,4.3,17149
2019,5.6,17151
2019,6.6,17153
2019,5,17155
2019,3.7,17157
2019,4.1,17159
2019,4.9,17161
2019,4.5,17163
2019,5.3,17165
2019,4,17167
2019,4.2,17169
2019,4.7,17171
2019,3.9,17173
2019,5.7,17175
2019,4.4,17177
2019,4.4,17179
2019,5.7,17181
2019,5.1,17183
2019,3.8,17185
2019,4.1,17187
2019,2.5,17189
2019,4.8,17191
2019,3.8,17193
2019,4.3,17195
2019,3.8,17197
2019,4.3,17199
2019,5.7,17201
2019,3.7,17203
2019,2.7,18001
2019,3.1,18003
2019,2.5,18005
2019,3.2,18007
2019,4,18009
2019,2.5,18011
2019,3,18013
2019,3,18015
2019,3.5,18017
2019,3.3,18019
2019,3.5,18021
2019,2.7,18023
2019,4.1,18025
2019,2.6,18027
2019,3.6,18029
2019,2.9,18031
2019,2.8,18033
2019,3.9,18035
2019,2.4,18037
2019,3.1,18039
2019,4.7,18041
2019,3.2,18043
2019,3.5,18045
2019,3.4,18047
2019,3.2,18049
2019,2.5,18051
2019,3.7,18053
2019,4.1,18055
2019,2.5,18057
2019,2.8,18059
2019,3.2,18061
2019,2.7,18063
2019,3.3,18065
2019,4,18067
2019,3.3,18069
2019,2.6,18071
2019,3.7,18073
2019,3,18075
2019,3.4,18077
2019,3.3,18079
2019,2.7,18081
2019,3.1,18083
2019,2.8,18085
2019,2.8,18087
2019,4.9,18089
2019,4.3,18091
2019,3.6,18093
2019,3.7,18095
2019,3.3,18097
2019,3.1,18099
2019,2.6,18101
2019,3.9,18103
2019,3.3,18105
2019,3.1,18107
2019,3.1,18109
2019,4.1,18111
2019,3.1,18113
2019,3.5,18115
2019,3.5,18117
2019,4,18119
2019,3.8,18121
2019,3.3,18123
2019,3.3,18125
2019,3.7,18127
2019,2.7,18129
2019,3.1,18131
2019,3.5,18133
2019,3.7,18135
2019,3.3,18137
2019,2.7,18139
2019,3.6,18141
2019,3.6,18143
2019,2.9,18145
