key,value
90018,0
18161,128
18163,6405
18165,291
18167,2930
18169,507
18171,102
18173,2121
18175,414
18177,1569
18179,504
18181,658
18183,521
19001,197
19003,84
19005,399
19007,250
19009,160
19011,648
19013,5974
19015,750
19017,719
19019,487
19021,2302
19023,408
19025,326
19027,1204
19029,423
19031,508
19033,1502
19035,412
19037,373
19039,357
19041,557
19043,492
19045,1562
19047,1387
19049,3573
19051,188
19053,162
19055,827
19057,1516
19059,793
19061,5506
19063,453
19065,406
19067,462
19069,395
19071,215
19073,193
19075,340
19077,420
19079,482
19081,367
19083,501
19085,697
19087,1124
19089,287
19091,359
19093,212
19095,442
19097,685
19099,1197
19101,259
19103,6024
19105,500
19107,173
19109,497
19111,1013
19113,6038
19115,544
19117,213
19119,568
19121,374
19123,738
19125,1068
19127,2122
19129,423
19131,296
19133,249
19135,272
19137,190
19139,1539
19141,732
19143,302
80019,0
19145,420
19147,329
19149,1728
19151,244
19153,19732
19155,3378
19157,476
19159,99
19161,411
19163,4873
19165,402
19167,2544
19169,4111
19171,1005
19173,260
90019,6
19175,264
19177,188
19179,1589
19181,1313
19183,693
19185,137
19187,1960
19189,521
19191,507
19193,7437
19195,147
19197,759
20001,112
20003,186
20005,512
20007,48
20009,757
20011,306
20013,232
20015,965
20017,107
20019,25
20021,699
20023,115
20025,65
20027,114
20029,144
20031,160
20033,20
20035,523
20037,1449
20039,89
20041,326
20043,211
20045,2930
20047,76
20049,13
20051,1420
20053,278
20055,3046
20057,3271
20059,559
20061,394
20063,182
20065,56
20067,448
20069,211
20071,34
20073,97
20075,60
20077,155
20079,580
20081,103
20083,36
20085,323
20087,287
20089,29
20091,14383
20093,159
20095,128
20097,69
20099,394
20101,23
20103,2568
20105,23
20107,117
20109,68
20111,1332
20115,124
20117,71
20113,445
20119,144
20121,563
20123,63
20125,656
20127,60
20129,56
20131,315
20133,274
20135,148
20137,668
20139,161
20141,23
20143,114
80020,0
20145,431
20147,197
20149,382
20151,155
20153,92
20155,2248
20157,80
20159,156
20161,2189
20163,154
20165,98
20167,186
20169,1127
20171,181
20173,11551
20175,2181
20177,3555
20179,165
20181,239
20183,23
20185,82
20187,52
20189,237
20191,296
20193,363
20195,106
90020,0
20197,84
20199,52
20201,39
20203,44
20205,118
20207,27
20209,8344
21001,511
21003,551
21005,267
21007,74
21009,1263
21011,135
21013,714
21015,2228
21017,325
21019,707
21021,463
21023,72
21025,143
21027,202
21029,1505
21031,425
21033,285
