key,percent_black,percent_white,percent_hispanic,percent_bachelors,population,median_income
51087,0.29514620349954857,0.5365831188851561,0.05514952002505819,0.429,325642,68572.0
51101,0.16706067769897556,0.762138570649209,0.015578590046675153,0.204,16497,68720.0
51109,0.14802148106274732,0.772696438665913,0.027868852459016394,0.23399999999999999,35380,59343.0
51147,0.32022129290817214,0.6168757623279317,0.03833420456525527,0.281,22956,46189.0
51159,0.2761883307051138,0.6081324622662762,0.06792070286100473,0.157,8878,49831.0
51177,0.16105835083554013,0.6878595562049128,0.09365963534532615,0.315,131412,85330.0
51043,0.04782457361642882,0.8650887573964497,0.05207100591715976,0.322,14365,77936.0
51117,0.35633935228709435,0.601225402794437,0.028787240250267448,0.184,30847,42025.0
51015,0.04171296234320826,0.9115942222995677,0.026371802251643216,0.235,74701,61305.0
51051,0.006617647058823529,0.9767379679144385,0.008890374331550802,0.1,14960,29226.0
51107,0.07460865185139026,0.5685005309716131,0.13532376286210576,0.608,385143,136268.0
51161,0.05716850282636804,0.8617377087718924,0.02918265069510488,0.348,93583,65467.0
51570,0.14653555391348833,0.7310293866878872,0.057466037628602286,0.23199999999999998,17593,53716.0
51021,0.018458197611292075,0.963393826586009,0.007445323406235459,0.174,6447,50511.0
51029,0.3420371677252411,0.6113855563396848,0.02399435426958363,0.113,17004,46261.0
51580,0.13238982443568614,0.8120745252597635,0.025797205302758867,0.153,5582,39432.0
51810,0.19045397491863553,0.6204538638408478,0.08007153409532695,0.35200000000000004,450135,74186.0
51640,0.09204579692678518,0.7530882796022899,0.16556191623983127,0.124,6638,31938.0
51193,0.26199115545980267,0.6392448123369997,0.06293230525002835,0.203,17638,54268.0
51155,0.04600689373137816,0.9083659519775662,0.017059064088333235,0.19399999999999998,34234,52638.0
51590,0.49248410098284834,0.43033339757178646,0.04121699749470033,0.184,41512,36301.0
51009,0.17784329715827113,0.7512389436045418,0.02427702151684336,0.192,31882,49170.0
51017,0.017755520145686318,0.9180514454814478,0.03755975415433645,0.149,4393,46137.0
51700,0.4092536567764856,0.4341724721751922,0.0876960226484221,0.255,180145,51884.0
51680,0.2851580536870874,0.6232793800152251,0.03985972969262832,0.348,80131,43374.0
51690,0.4734753072284558,0.4530188535226319,0.05366002595221739,0.213,13101,33224.0
51057,0.38791228706052916,0.5481152591518667,0.035338890902500905,0.165,11036,52681.0
51790,0.11667757238671683,0.8106494356289874,0.029813512187142156,0.34,24452,48049.0
51750,0.0977311401020987,0.8304027226318775,0.0290414066931367,0.391,17630,36743.0
51045,0.0015646391550948563,0.995892822217876,0.00039115978877371407,0.185,5113,55484.0
51071,0.0215891518972285,0.9496847864874509,0.016950160580468658,0.182,16814,52478.0
51157,0.04828150572831424,0.8908892525913803,0.035870158210583744,0.32899999999999996,7332,68438.0
54033,0.016874605990411823,0.9429254203990676,0.016112243252356728,0.225,68209,50433.0
54069,0.040143840928855146,0.92222718405528,0.011023103861611865,0.308,42547,48418.0
54013,0.00027041644131963225,0.9722823147647377,0.02055164954029205,0.11,7396,37610.0
54065,0.007149341806627327,0.9547208352246936,0.015206536541080345,0.17300000000000001,17624,50661.0
54081,0.07626718438451044,0.8710515269178298,0.01609560289642145,0.183,76232,42296.0
54007,0.0038510012603276854,0.9698921719647108,0.010712785324184288,0.151,14282,42213.0
54001,0.012372982665869696,0.955827854154214,0.005080693365212194,0.166,16730,39580.0
54047,0.08409221002237602,0.8865067388249988,0.013061351927980434,0.054000000000000006,19217,26547.0
54099,0.0054534735187186795,0.9739608922079198,0.006509776948020045,0.151,40708,36875.0
54109,0.009672516236009397,0.9725945373313067,0.002026622449449588,0.095,21711,40045.0
54035,0.000792611482528086,0.9704666069336274,0.004893514370390792,0.171,29018,44783.0
54055,0.06247726746685183,0.9034156664352081,0.011407598452534471,0.2,60486,39372.0
54097,0.018410892095102622,0.9606177606177606,0.013086770981507824,0.168,24605,40401.0
54101,0.0003521953510213665,0.9969476402911481,0.000704390702042733,0.09300000000000001,8518,34312.0
54003,0.07684038944446892,0.842336666813516,0.042248557205163226,0.21,113495,60615.0
54019,0.05058242306123374,0.9245569505506958,0.011172551330281466,0.152,44126,40379.0
54023,0.016407525126707328,0.9670990464736706,0.00790310110815222,0.14400000000000002,11641,41071.0
54027,0.014681333732825408,0.9580961349141806,0.014039292899028378,0.122,23363,40099.0
54089,0.04332462743893071,0.9181901981871256,0.017130127515747426,0.139,13018,36049.0
54009,0.017477604075180047,0.9572720885297734,0.008738802037590023,0.19399999999999998,22772,49772.0
54017,0.013472352389878163,0.9546626054358013,0.007380506091846298,0.157,8536,46449.0
54057,0.034973238507221935,0.940501503042745,0.008908277732971625,0.147,27278,46354.0
54025,0.024386793787308684,0.9240953970634,0.01884176874982318,0.19899999999999998,35347,39038.0
54031,0.055049848287819676,0.901459326686895,0.015749169195203007,0.145,13842,47186.0
54049,0.03626741242897853,0.9263677717400924,0.012673239287041789,0.23399999999999999,56497,48605.0
54059,0.026474273473182167,0.9584899559435754,0.0,0.095,24741,31305.0
54029,0.018766846361185984,0.9386118598382749,0.015128032345013477,0.185,29680,45580.0
54041,0.002641926763332514,0.9646719095600885,0.011857950356352912,0.133,16276,39423.0
54067,0.007937134733849313,0.9702653609224451,0.005449376085926394,0.152,25324,38468.0
54075,0.004337123432188489,0.9825342867190248,0.0052748798499589735,0.163,8531,39702.0
54095,0.003367381299809182,0.9783365136378943,0.0026939050398473454,0.139,8909,41108.0
54083,0.019542404954412524,0.9591949079649063,0.009151900911749528,0.163,29065,41094.0
54091,0.009674945430948026,0.9579965783729574,0.00996991327945254,0.172,16951,47205.0
54105,0.014317750560634812,0.9711919958599275,0.011040193203381059,0.09699999999999999,5797,40189.0
54015,0.00011383039271485487,0.9919180421172453,0.0007968127490039841,0.095,8785,35875.0
54021,0.10968921389396709,0.8098720292504571,0.039975624619134675,0.14400000000000002,8205,35810.0
54061,0.036056321970128834,0.8796222399574355,0.020731197506935736,0.413,105252,49926.0
54063,0.009059181703423182,0.9609415608524542,0.008984926115690206,0.138,13467,36493.0
54103,0.010119123863199693,0.9704111694633022,0.0034584347380555913,0.127,15614,42125.0
54011,0.05038922344153256,0.8988753435867307,0.01392181959336117,0.257,95318,38321.0
54039,0.07248398039954768,0.877728716816542,0.010904097786872005,0.249,185710,45426.0
54071,0.0338718820861678,0.9468537414965986,0.009070294784580499,0.142,7056,41210.0
54077,0.0472559624080149,0.9090344888731271,0.02488400271891716,0.154,33837,48317.0
54085,0.0007047925896093435,0.9854007249295207,0.005235602094240838,0.105,9932,44472.0
54043,0.003985197836606889,0.9786981687067084,0.008539709649871904,0.087,21078,37679.0
54079,0.011967803431476381,0.9555002471227847,0.011367648097154558,0.267,56652,59626.0
54005,0.00915983696366744,0.9772976289608625,0.002279002498137354,0.084,22817,38642.0
54051,0.009796176331173962,0.9673566124190235,0.010080581450466109,0.185,31645,43918.0
54093,0.004696171908353494,0.9738152839049381,0.003984630710118116,0.175,7027,45655.0
54073,0.002131344078859731,0.9824164113494073,0.00586119621686426,0.129,7507,48563.0
54087,0.0008447729672650475,0.9689545934530095,0.010559662090813094,0.124,14205,34300.0
54107,0.01335967085885268,0.9520898592734583,0.011080461919678338,0.218,85556,45958.0
54053,0.004083299305839118,0.9675563309699692,0.0068302461115854335,0.124,26939,40347.0
54037,0.06358247743818865,0.8347603196924117,0.05537656419658591,0.308,56179,76503.0
54045,0.017100085796278218,0.9593799000029585,0.008964231827460726,0.1,33801,38123.0
53035,0.02487855986284408,0.7703895609105629,0.07536717782645966,0.322,262475,71610.0
53033,0.06289312827833217,0.6044177830003555,0.09556654618475752,0.514,2163257,89418.0
53051,0.0022694606248581588,0.885694833194644,0.036538316060216354,0.20199999999999999,13219,48583.0
53055,0.009105809506465124,0.886663024342864,0.062162326230801916,0.486,16473,60711.0
53075,0.022122527936122488,0.7892700594735867,0.0618401827423703,0.495,48593,42163.0
53077,0.010769076506567733,0.43693171563220695,0.4890965607139276,0.16,249325,49871.0
53015,0.008029530405662531,0.8384485120633229,0.08798234264403684,0.166,105112,51752.0
53019,0.0014519535374868005,0.7342925026399155,0.04580253431890179,0.182,7576,41924.0
53041,0.0058741731321559,0.8381353399092882,0.09996491091270615,0.168,76947,50216.0
53027,0.01018522378312282,0.7963233148526407,0.09854516653466172,0.158,71967,47770.0
53029,0.03175069822137292,0.7949311578225293,0.07486893037385467,0.33,81636,64809.0
53069,0.01289090475053712,0.8715683934113153,0.06302220100262593,0.19,4189,54085.0
53021,0.02372600926538716,0.406982131039047,0.5284248841826605,0.17300000000000001,90660,62002.0
53025,0.006894370651486401,0.542662871600253,0.4129348513598988,0.17600000000000002,94860,54982.0
53073,0.01020238732173496,0.7933232477907127,0.09213973396306477,0.33899999999999997,216812,59285.0
53047,0.004899370767087756,0.6538498486959028,0.1971996733752822,0.19,41638,45808.0
53037,0.009637479085331847,0.8413831567205801,0.08749581706636922,0.348,44825,55193.0
53005,0.01618701330806312,0.7094526389518355,0.21288780849573566,0.3,194168,65650.0
53013,0.007498125468632842,0.8595351162209448,0.07648087978005498,0.249,4001,51111.0
53003,0.004387339392040113,0.9088955544612078,0.038187760218471596,0.205,22337,50423.0
53023,0.0,0.8961330935251799,0.021133093525179857,0.252,2224,52525.0
53045,0.017053347597681512,0.808612898590065,0.09677934437223562,0.18,62627,55726.0
53065,0.00463654046229701,0.8670783009906364,0.03627810195865563,0.185,44214,49200.0
53063,0.016086367060005023,0.8489179010795882,0.05562239517951293,0.304,497875,54852.0
53007,0.0047520361154744775,0.6810195757487757,0.2781789141597476,0.267,75757,56135.0
53031,0.00810215193155302,0.886764324604615,0.03571428571428571,0.418,30856,54471.0
53049,0.003383299656971007,0.8219538555519007,0.09440345848409379,0.18,21281,44846.0
53059,0.008864027538726334,0.878657487091222,0.06196213425129088,0.23800000000000002,11620,58598.0
53009,0.011169734316055151,0.8295273000657833,0.062292749070307574,0.261,74487,49913.0
53039,0.0021966722751916245,0.82192933258553,0.12063002430360815,0.289,21396,54056.0
53017,0.003867443378211791,0.6450653839646129,0.31297285538178915,0.192,41371,60452.0
53053,0.06679963714179382,0.6734962318570897,0.10634071455154448,0.264,859840,67868.0
53071,0.01836111295570755,0.7188890364566041,0.21231489474732718,0.28600000000000003,60236,56533.0
53061,0.028759756934733417,0.7032684142279627,0.10028094886984822,0.319,786620,82751.0
53067,0.030591516069374262,0.7541538640765388,0.08724206724818337,0.35700000000000004,274684,69592.0
53011,0.016857047083698624,0.7891912914926168,0.09314243721314011,0.298,465384,71636.0
53001,0.0077112893275755705,0.34500308451573103,0.6295496607032696,0.136,19452,49142.0
53057,0.007860734260372699,0.7456156633604235,0.1830162944789237,0.263,123907,62865.0
53043,0.007283181600383325,0.9154767609008145,0.032678485864877815,0.23600000000000002,10435,50744.0
